modelName,dimension,segment,raceCount,logLossDelta,brierDelta,top1Delta,eceDelta
residual_c10_a10,month,2026-07,2184,0.006641888657002992,0.0027562693078977407,-0.005036630036630019,0.001310575573657241
residual_c10_a10,topPickLane,1,36976,0.009629438153916814,0.0038439596968863343,-0.0008383816529640153,-0.0026958528433860852
residual_c10_a10,topPickLane,2,604,-0.02417769866501196,-0.01789307864146472,0.10430463576158944,0.07081264832389972
residual_c10_a10,topPickLane,3,335,-0.01834418458373821,-0.014893169140070883,0.014925373134328346,-0.003218982551126008
residual_c10_a10,topPickLane,4,91,-0.03850167027033158,-0.02458868916128154,0.043956043956043966,-0.013730543693947439
residual_c10_a10,featureCoverage,3,38010,0.008735653370346874,0.0032665693031599385,0.0010523546435149411,-0.004125230339973914
tree15_temp085,venue,1,1641,0.006020315949980537,0.003648664017169456,0.0,0.025540264718861616
tree15_temp085,venue,10,1498,0.008581871702236121,0.005271194941891544,0.0,0.05091396928809612
tree15_temp085,venue,11,1594,0.0035300222806440296,0.00209825334631919,0.0,0.028118576929121987
tree15_temp085,venue,12,1698,0.003374697336870236,0.0022782207941807187,0.0,0.024477952210823696
tree15_temp085,venue,13,1349,-0.005398930227731746,-0.0018930498059619438,0.0,-0.01406361978066547
tree15_temp085,venue,14,1459,0.0032202558348561894,0.0023743977649737236,0.0,0.017837017207456868
tree15_temp085,venue,15,1657,0.0052858085000406785,0.002933246055005112,0.0,0.013565647579889657
tree15_temp085,venue,16,1353,0.010010833846393563,0.003878879516946987,0.0,0.0435804057082758
tree15_temp085,venue,17,1637,0.008399749934231648,0.0038289821822575787,0.0,0.039093240780238736
tree15_temp085,venue,18,1776,0.0062436140269686025,0.004670150782322469,0.0,0.04663939647445422
tree15_temp085,venue,19,1616,0.004796574110595531,0.003251132173167637,0.0,0.028025201454351945
tree15_temp085,venue,2,1471,0.007254377056582273,0.0034566400499632666,0.0,0.05000414899756611
tree15_temp085,venue,20,1547,-4.8264434206579665e-05,0.0016035073353138918,0.0,0.00764786500630997
tree15_temp085,venue,21,1681,0.003367699642669919,0.0012013576217642097,0.0,0.013137912797086464
tree15_temp085,venue,22,1658,-0.0031711159445269033,0.0002486350645567459,0.0,-0.0012376861619571786
tree15_temp085,venue,23,1418,-0.0011903654482823267,0.0006148202944588066,0.0,0.018051875777247716
tree15_temp085,venue,24,1694,-0.002293339140775119,-0.0010610278710422305,0.0,-0.017752714992767413
tree15_temp085,venue,3,1481,0.01178386554350963,0.00619827761399272,0.0,0.048832680609852866
tree15_temp085,venue,4,1252,-0.001616101166555417,0.000420135674325528,0.0,0.016051360926529677
tree15_temp085,venue,5,1684,0.003725324902984495,0.0011986678049696886,0.0,0.00894615046113319
tree15_temp085,venue,6,1806,-0.0029528652724271076,-0.0008325890317057993,0.0,-0.0065169073898232385
tree15_temp085,venue,7,1680,0.003466390838004374,0.0023619687423015456,0.0,0.02650137119171029
tree15_temp085,venue,8,1766,0.003064038415385273,0.0031717290384106755,0.0,0.025558324357439308
tree15_temp085,venue,9,1594,-0.0004526373363387126,-0.0001499802755199342,0.0,0.0041400980568696705
tree15_temp085,month,2025-08,275,0.002296692323359828,0.0016824386511463674,0.0,-0.011173296720179943
tree15_temp085,month,2025-09,3625,0.007369902506926929,0.004127199375175139,0.0,0.04510982971100469
tree15_temp085,month,2025-10,3538,0.007168004248876869,0.0037075434587782174,0.0,0.04930392286927337
tree15_temp085,month,2025-11,3340,-0.0016188493321116493,-0.0002505471795645198,0.0,0.0035128354823572155
tree15_temp085,month,2025-12,4008,0.002542627943112663,0.0019757046188624283,0.0,0.028062360703634513
tree15_temp085,month,2026-01,4356,0.002134030880444282,0.0010317081409476625,0.0,0.011390369290697658
tree15_temp085,month,2026-02,3545,0.0012242709235485982,0.0010561002166891154,0.0,0.014851225472144979
tree15_temp085,month,2026-03,3811,0.0037444349900588314,0.0029269379090735015,0.0,0.0305865262202302
tree15_temp085,month,2026-04,1824,0.004583344344382567,0.0030935641603370145,0.0,0.02867980273784553
tree15_temp085,month,2026-05,3677,0.0021105472088238653,0.0022249016389735976,0.0,0.028520339596193076
tree15_temp085,month,2026-06,3827,0.002196997066032713,0.002134296097606181,0.0,0.033655541543499895
tree15_temp085,month,2026-07,2184,0.00402198640885798,0.0016241857338655796,0.0,0.023886703377847197
